Starter letter	Language/Country	Translation document (link)	Estimated completion date	Slack channel	Slack usernames	Translation status	Ready to Publish on Medium?	(Optional) Medium Author	Published on Medium (Link)	Who is posting to medium?
US 2020	Punjabi	Punjabi - US 2020		#translation-punjabi	@harnoor98 @Amarjeet Kaur @NaseebKBhangal @KaranbirSingh	PUBLISHED			https://medium.com/@lettersforblacklives/%E0%A8%B8%E0%A8%A4%E0%A8%BF%E0%A8%95%E0%A8%BE%E0%A8%B0%E0%A8%AF%E0%A9%8B%E0%A8%97-%E0%A8%AE%E0%A8%BE%E0%A8%A4%E0%A8%BE%E0%A8%9C%E0%A9%80-%E0%A8%85%E0%A8%A4%E0%A9%87-%E0%A8%AA%E0%A8%BF%E0%A8%A4%E0%A8%BE%E0%A8%9C%E0%A9%80-%E0%A8%A6%E0%A8%BE%E0%A8%A6%E0%A8%BE%E0%A8%9C%E0%A9%80-%E0%A8%85%E0%A8%A4%E0%A9%87-%E0%A8%A6%E0%A8%BE%E0%A8%A6%E0%A9%80%E0%A8%9C%E0%A9%80-%E0%A8%A8%E0%A8%BE%E0%A8%A8%E0%A8%BE%E0%A8%9C%E0%A9%80-%E0%A8%85%E0%A8%A4%E0%A9%87-%E0%A8%A8%E0%A8%BE%E0%A8%A8%E0%A9%80%E0%A8%9C%E0%A9%80-%E0%A8%9A%E0%A8%BE%E0%A8%9A%E0%A8%BE-%E0%A8%85%E0%A8%A4%E0%A9%87-%E0%A8%9A%E0%A8%BE%E0%A8%9A%E0%A9%80-%E0%A8%9C%E0%A9%80-956b67ae169e	Joy
US 2020	Romanian	Romanian - US 2020		#translation-romanian	@Julia Todeasa	INITIAL STAGES				
US 2020	Russian	Russian - US 2020	June 12	#translation-russian	@Liza Yanovskaya  @Anastasia Efremova @mayya   @Diana Abagyan @Maria Guzenko  @Yasmine Rayyis @Angelina Benli    @Zeff Worley              	IN PROGRESS				
US 2020	S’gaw Karen	S’gaw Karen  - US 2020		NA 	@Ehler @jeanna 	IN PROGRESS	Yes 			
US 2020	Samoan					NOT STARTED				
US 2020	Serbian			#translation-serbian	@nicholas naumov	NOT STARTED				
US 2020	Sinhala	Sinhala - US 2020	June 10	#translation-sinhala	@hiyanthi  @kamani @nuwani @charuni	INITIAL STAGES				
US 2020	Slovak	Slovak - US 2020		#translation-slovak	@Carol N.	NOT STARTED				
US 2020	Spanish	Spanish - US 2020	June 6	#translation-spanish	@Serge   @Maria Egoavil @Brenda SV @Bianca A @Anita Cheung	PUBLISHED	Yes	@anita88529 (Letters for Black Lives (Spanish))	https://lettersforblacklives.com/querida-familia-las-vidas-negras-nos-importan-tambi%C3%A9n-93e905fabfd3	Anita C
US 2020	Sylheti	Sylheti - US 2020		#concerns-southasian	@AYSHA A @Hibah Ilyas	PUBLISHED	Sylheti | English		https://lettersforblacklives.com/amma-abba-sasa-sasi-nanazi-nanizi-dada-dadi-foribar-15df1faa558e	Cordelia
US 2020	Tagalog (Filipino)	Tagalog (Filipino) - US 2020	June 7	#translation-filipino	@Jero Abad @Kim Orna @Tanya de Dios @Katrina Guinto @Eris Ann  @Albert Nessia	PUBLISHED	Draft -- YES!	N/A	https://lettersforblacklives.com/mahal-kong-nanay-tatay-tito-tita-lolo-lola-pamilya-d7ba4103f0fe	Cordelia
US 2020	Tamil	Tamil - US 2020	June 7	#translation-tamil	@Krandhasi Kodaiarasu	FINAL STAGES				
US 2020, South Asian 2020	Telugu	Telugu - US 2020	June 12	#translation-telugu	@hema @sammyk	IN PROGRESS				
US 2020	Thai	Thai - US 2020	June 7	#translation-Thai	@Quincy Surasmith 	PUBLISHED	Draft Created		https://lettersforblacklives.com/%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9E%E0%B9%88%E0%B8%AD-%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B9%81%E0%B8%A1%E0%B9%88-%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%8D%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B9%86-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B9%80%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%9E-b731050e9249	
US 2020	Turkish	Turkish - US 2020	June 7	#translation-turkish	@SimalY @katherinerussell @Tugce	PUBLISHED	Draft Created	N/A	https://lettersforblacklives.com/anneci%C4%9Fim-babac%C4%B1%C4%9F%C4%B1m-amcac%C4%B1%C4%9F%C4%B1m-teyzeci%C4%9Fim-b%C3%BCy%C3%BCkbabac%C4%B1%C4%9F%C4%B1m-b%C3%BCy%C3%BCkanneci%C4%9Fim-ve-ailem-235122062c24	Cordelia
US 2020	Urdu	Urdu - US 2020	June 9	#translation-urdu	@AYSHA A @Hibah Ilyas	COMPLETE	Urdu; English--YES	@Hibah Ilyas		
US 2020	Vietnamese	Vietnamese - US 2020	June 9	#translation-vietnamese	@Linda Nguyen 	FINAL STAGES				
US 2020	Yiddish			#translation-yiddish		NOT STARTED				
